ERP CODE;;BARCODE;ITEM DESCRIPTION;LOT DESCRIPTION & COMMENTS;CATEGORY;QTY NOW AVAILABLE;PRICE;ITEM INFO;YOUR ORDER;PUBLISHER;WEIGHT (in Kg);VOLUME (in M3);Our margin;TOTAL PRICE;;
021938;B01BY8YJA8;3700789220275;"STAR WARS - ""CHEWBACCA"" MESSENGER BAG (ABYBAG132)";ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;50;19,75 _;;;''Abysse'';0,674;0,006720;21,73 _;26,94 _;;
019652;B017MBSXBW;3700789217312;"ASSASSIN'S CREED SYNDICATE - ""UNION JACK USED"" MESSENGER BAG (ABYBAG106)";ENGLISH LABEL / PLASTIC BAG;GAMING;18;19,75 _;;;''Abysse'';0,500;0,004914;21,73 _;26,94 _;;
019718;B014Z3BCL8;8436546890096;STAR WARS - BB-8 MESSENGER BAG (SDTSDT89009);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;74;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
019719;B014Z3BBP0;8436546890102;STAR WARS - KYLO LIGHTSABER MESSENGER BAG (SDTSDT89010);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;54;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
019720;B014Z3B9UC;8436546890119;STAR WARS - KYLO POSES MESSENGER BAG (SDTSDT89011);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;68;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
019721;B014Z3B8X0;8436546890126;STAR WARS - X-WING MESSENGER BAG (SDTSDT89012);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;71;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
024632;B0114ZZ1YE;8436546896531;STAR WARS: ORANGE LOGO MESSENGER BAG (SDTSDT89653);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;45;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
024631;B0114ZYT9C;8436546895282;STAR WARS: DARTH VADER MESSENGER BAG (SDTSDT89527);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;52;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
024628;B0114ZYL7M;8436546895244;STAR WARS: WHITE LOGO MESSENGER BAG (SDTSDT89523);EN,ES LABEL / PLASTIC BAG;TV & MOVIES;56;19,75 _;;;SD TOYS;0,580;0,005945;21,73 _;26,94 _;;
017619;B00E3R0QRI;8436535274715;THE MATRIX - CODE BLACK MESSENGER BAG;PLASTIC BAG;TV & MOVIES;27;19,75 _;;;SD TOYS;1,010;0,002520;21,73 _;26,94 _;;
019467;B00E3R0Q46;8436541022300;BATMAN - CLASSIC MOVIE LOGO MESSENGER BAG (SDTWRN02230);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;1;19,75 _;;;SD TOYS;1,000;0,009240;21,73 _;26,94 _;;
019443;B009XB8Q08;8436541022867;GAME OF THRONES - YOU WIN OR YOU DIE MESSENGER BAG (SDTHBO02286);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;33;19,75 _;;;SD TOYS;0,920;0,009240;21,73 _;26,94 _;;
031941;B074PFVZSF;889698232531;POP! Star Wars: Leia With Speeder Bike* #228 Vinyl Bobble-Head Figure;EN,FR,ES,DE,IT,PL,NL,DK,SE,RU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;18;18,96 _;;;FUNKO;0,300;0,004535;20,86 _;25,86 _;;
034321;B076BP2P1F;882041055436;Star Wars - First Order BB UnitTalking Cookie Jar;EN,FR,ES,DE,IT,PL,NL,DK,SE,RU PACK / CARTON BOX;OTHER;4;18,90 _;;;FUNKO;1,230;0,012397;20,79 _;25,78 _;;
033276;B078WXQS85;634482493236;God of War - New (2018) Kratos Action Figure (18cm);ENGLISH PACK / CARTON WINDOW BOX WITH PLASTIC FILM;GAMING;9;18,80 _;;;NECA;0,492;0,001732;20,68 _;25,64 _;;
020756;B00YPK0PDI;3700789214694;"STAR WARS - YODA 460ml MUG + ""YODA- JUDGE ME BY MY SIZE, DO YOU"" T-SHIRT SIZE L GIFT BOX (ABYPCK058)";ENGLISH LABEL / PLASTIC BOX;TV & MOVIES;29;18,62 _;;;''Abysse'';0,525;0,001224;20,48 _;25,40 _;;
021568;B01AB6J3N2;634482519103;TERMINATOR 2 JUDGMENT DAY T-800 VIDEO GAME APPEARANCE ACTION FIGURE (18cm);ENGLISH PACK / CARTON BOX;TV & MOVIES;19;17,50 _;;;NECA;0,300;0,002444;19,25 _;23,87 _;;
037390;B008BCPEH8;634482450536;Half-Life: Dr. Gordon Freeman Action Figure (18cm) (45053);ENGLISH PACK / CARTON WINDOW BOX WITH PLASTIC FILM;GAMING;49;17,48 _;;;NECA;0,240;0,001617;19,23 _;23,84 _;;
033285;B0719V6QNH;889698123785;POP! Game of Thrones: Battle of the Bastards - Jon Snow & Ramsay Bolton (2 Pack) Vinyl Figures;EN,FR,IT,DE,ES,PT,DK,SE,NL,PL,TR,GR,HU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;11;17,12 _;;;FUNKO;0,220;0,002952;18,83 _;23,35 _;;
039487;B07DWX525G;5060576842133;Crash Bandicoot - Furry Crash Snapback Cap;EN,DE,FR,ES,IT LABEL / PLASTIC BAG;GAMING;15;17,08 _;;;NUMSKULL;0,106;0,003240;18,79 _;23,30 _;;
036748;B079B6KXKB;8718526096873;God of War - Sublimation Print Metal Badge Snapback Cap (SB010828GDW);ENGLISH LABEL / PLASTIC BAG;GAMING;19;16,92 _;;;Bioworld Europe;0,120;0,003240;18,61 _;23,08 _;;
035559;B075MKPQ45;8718526230574;Rick and Morty - Wubba Lubba Snapback Cap (SB081220RMT);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;8;16,92 _;;;Bioworld Europe;0,093;0,003240;18,61 _;23,08 _;;
039940;B01M73X2XU;8718526527674;Pokemon - Trainer Lounge Pants - Size M (ZP040548POK-M);ENGLISH PACK / CARTON HOLDER;VARIOUS;1;16,92 _;;;Bioworld Europe;0,100;0,000438;18,61 _;23,08 _;;
038197;B06XJ898MX;8718526079265;Zelda Breath of the Wild - Female Nightwear black print - Size XL (SI250856ZEL-XL);ENGLISH LABEL / PLASTIC BAG;GAMING;1;16,92 _;;;Bioworld Europe;0,235;0,001200;18,61 _;23,08 _;;
030010;B06XH7QD52;8718526535518;ZELDA BREATH OF THE WILD - ALL OVER LINK CLIMBING T-SHIRT - SIZE XL (TS590343ZEL-XL);ENGLISH LABEL / PLASTIC BAG;VARIOUS;3;16,92 _;;;Bioworld Europe;0,150;0,000576;18,61 _;23,08 _;;
039476;B01AXC8C9A;8718526221091;Nintendo - Jumping Characters Bikini Set - Size S (WF230412NTN-S);ENGLISH LABEL / PLASTIC BAG;GAMING;6;16,92 _;;;Bioworld Europe;0,146;0,001200;18,61 _;23,08 _;;
039475;B01AXC8C7M;8718526221107;Nintendo - Jumping Characters Bikini Set - Size M (WF230412NTN-M);ENGLISH LABEL / PLASTIC BAG;GAMING;4;16,92 _;;;Bioworld Europe;0,146;0,001200;18,61 _;23,08 _;;
033806;;4260474517107;"Dead by Daylight - ""Killer"" Snapback Cap (GE3380)";ENGLISH LABEL / PLASTIC BAG;GAMING;9;16,92 _;;;GAYA ENTERTAINMENT;0,073;0,002720;18,61 _;23,08 _;;
033799;;4260474517114;"Dead by Daylight - ""Survivor"" Snapback Cap (GE3381)";ENGLISH LABEL / PLASTIC BAG;GAMING;9;16,92 _;;;GAYA ENTERTAINMENT;0,073;0,002720;18,61 _;23,08 _;;
019950;B015Z26PU6;634482421772;TERMINATOR GENYSIS - POPS T-800 ACTION FIGURE (18cm);ENGLISH PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;27;16,90 _;;;NECA;0,300;0,001617;18,59 _;23,05 _;;
017525;B010OOSE4U;634482421895;TERMINATOR GENYSIS - T1000 POLICE DISGUISE ACTION FIGURE (18cm);ENGLISH PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;37;16,90 _;;;NECA;0,192;0,001617;18,59 _;23,05 _;;
017526;B00UA3IXA6;634482421888;TERMINATOR GENYSIS - T-800 GUARDIAN ACTION FIGURE (18cm);ENGLISH PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;18;16,90 _;;;NECA;0,226;0,001617;18,59 _;23,05 _;;
021199;B018W0UX2Y;3700789217336;"ASSASSIN'S CREED - ""CREST"" SYMBOL MESSENGER BAG (ABYBAG108)";ENGLISH LABEL / PLASTIC BAG;GAMING;3;16,60 _;;;''Abysse'';0,668;0,005800;18,26 _;22,64 _;;
029530;B01MCVPL42;3307215961070;Assassin's Creed - Aguilar PVC Statue (24cm);EN,DE,FR,ES,IT,NL,RU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;129;16,55 _;;;UBISOFT;0,900;0,016052;18,21 _;22,57 _;;
